板块,提及次数,正向词命中,负向词命中,中性词命中,宏观词命中,舆论分,热度分,较上一期热度变化
农业,1,2,0,2,2,1.0,3.0,+1.4
航空机场,1,2,0,2,3,0.8,2.8,NEW
一带一路,2,4,0,9,21,-1.2999999999999998,2.7,NEW
物流,2,3,0,11,20,-4.3,-0.2999999999999998,-1.7
通信,1,4,0,5,24,-2.3,-0.2999999999999998,NEW
金融,1,4,0,5,24,-2.3,-0.2999999999999998,NEW
军工,3,5,0,15,41,-7.699999999999999,-1.6999999999999993,-4.7
环保,1,1,0,9,17,-5.1,-3.0999999999999996,NEW
教育,1,1,0,9,17,-5.1,-3.0999999999999996,+4.8
消费,1,1,0,9,17,-5.1,-3.0999999999999996,-6.1
综合,1,1,0,9,17,-5.1,-3.0999999999999996,NEW
半导体,1,1,0,9,17,-5.1,-3.0999999999999996,NEW
人工智能,1,1,0,9,17,-5.1,-3.0999999999999996,-4.7
电商,1,1,0,9,17,-5.1,-3.0999999999999996,-4.5
化工,1,1,0,9,17,-5.1,-3.0999999999999996,NEW
汽车,1,1,0,9,17,-5.1,-3.0999999999999996,NEW
医药,2,5,0,14,41,-7.3999999999999995,-3.3999999999999995,-0.5
