板块,提及次数,正向词命中,负向词命中,中性词命中,宏观词命中,舆论分,热度分,较上一期热度变化
电子,1,13,0,1,9,10.9,12.9,+15.8
航空机场,1,13,0,1,9,10.9,12.9,NEW
通信,1,13,0,1,9,10.9,12.9,NEW
消费,4,19,3,14,59,-4.440892098500626e-16,8.0,+5.0
人工智能,1,5,0,6,9,1.4,3.4,+1.8
医院,1,5,0,6,9,1.4,3.4,NEW
传媒,1,5,0,6,9,1.4,3.4,NEW
电池,1,5,0,6,9,1.4,3.4,NEW
机器人,1,5,0,6,9,1.4,3.4,+1.4
综合,2,1,0,5,4,-1.3,2.7,NEW
教育,1,0,0,0,2,-0.4,1.6,+9.5
煤炭,1,0,2,2,3,-3.2,-1.2000000000000002,NEW
风电,1,1,1,5,38,-9.1,-7.1,NEW
建筑建材,1,1,1,5,38,-9.1,-7.1,NEW
石油石化,1,1,1,5,38,-9.1,-7.1,NEW
地产,1,1,1,5,38,-9.1,-7.1,NEW
汽车,1,1,1,5,38,-9.1,-7.1,NEW
空调,1,1,1,5,38,-9.1,-7.1,NEW
钢铁,1,1,1,5,38,-9.1,-7.1,NEW
储能,1,1,1,5,38,-9.1,-7.1,NEW
化工,1,1,1,5,38,-9.1,-7.1,NEW
公交,1,1,1,5,38,-9.1,-7.1,NEW
电力,2,1,3,7,41,-12.3,-8.3,-9.9
光伏,2,1,3,7,41,-12.3,-8.3,NEW
军工,3,1,6,10,42,-17.2,-11.2,-14.2
