日期,板块,热度分,置信度,股票代码,股票名称,匹配线索
20260515,消费,6.0,观察,000921,海信家电,消费|白酒|食品饮料|家电
20260515,消费,6.0,观察,000978,桂林旅游,消费|白酒|食品饮料|家电
20260515,消费,6.0,观察,002059,云南旅游,消费|白酒|食品饮料|家电
20260515,消费,6.0,观察,002627,三峡旅游,消费|白酒|食品饮料|家电
20260515,消费,6.0,观察,002707,众信旅游,消费|白酒|食品饮料|家电
20260515,消费,6.0,观察,300859,西域旅游,消费|白酒|食品饮料|家电
20260515,消费,6.0,观察,600054,黄山旅游,消费|白酒|食品饮料|家电
20260515,消费,6.0,观察,600749,西藏旅游,消费|白酒|食品饮料|家电
20260515,消费,6.0,观察,603199,九华旅游,消费|白酒|食品饮料|家电
20260515,消费,6.0,观察,603402,陕西旅游,消费|白酒|食品饮料|家电
20260515,农业,5.8,观察,000816,智慧农业,农业|种业|养殖|猪肉
20260515,农业,5.8,观察,000860,顺鑫农业,农业|种业|养殖|猪肉
20260515,农业,5.8,观察,001313,粤海饲料,农业|种业|养殖|猪肉
20260515,农业,5.8,观察,002041,登海种业,农业|种业|养殖|猪肉
20260515,农业,5.8,观察,002321,华英农业,农业|种业|养殖|猪肉
20260515,农业,5.8,观察,300189,神农种业,农业|种业|养殖|猪肉
20260515,农业,5.8,观察,600313,农发种业,农业|种业|养殖|猪肉
20260515,农业,5.8,观察,600354,敦煌种业,农业|种业|养殖|猪肉
20260515,农业,5.8,观察,601288,农业银行,农业|种业|养殖|猪肉
20260515,农业,5.8,观察,920087,秋乐种业,农业|种业|养殖|猪肉
20260515,农业,5.8,观察,920403,康农种业,农业|种业|养殖|猪肉
20260515,教育,5.8,观察,000526,学大教育,教育|职业教育|培训|教育信息化
20260515,教育,5.8,观察,002607,中公教育,教育|职业教育|培训|教育信息化
20260515,教育,5.8,观察,002659,凯文教育,教育|职业教育|培训|教育信息化
20260515,教育,5.8,观察,003032,传智教育,教育|职业教育|培训|教育信息化
20260515,教育,5.8,观察,300192,科德教育,教育|职业教育|培训|教育信息化
20260515,教育,5.8,观察,300359,全通教育,教育|职业教育|培训|教育信息化
20260515,教育,5.8,观察,300559,佳发教育,教育|职业教育|培训|教育信息化
20260515,教育,5.8,观察,600661,昂立教育,教育|职业教育|培训|教育信息化
20260515,教育,5.8,观察,605098,行动教育,教育|职业教育|培训|教育信息化
20260515,物流,4.0,观察,000520,凤凰航运,物流|快递|航运|港口
20260515,物流,4.0,观察,001872,招商港口,物流|快递|航运|港口
20260515,物流,4.0,观察,002468,申通快递,物流|快递|航运|港口
20260515,物流,4.0,观察,300013,新宁物流,物流|快递|航运|港口
20260515,物流,4.0,观察,600125,铁龙物流,物流|快递|航运|港口
20260515,物流,4.0,观察,600603,广汇物流,物流|快递|航运|港口
20260515,物流,4.0,观察,601083,锦江航运,物流|快递|航运|港口
20260515,物流,4.0,观察,601156,东航物流,物流|快递|航运|港口
20260515,物流,4.0,观察,603117,万林物流,物流|快递|航运|港口
20260515,物流,4.0,观察,603128,华贸物流,物流|快递|航运|港口
20260515,物流,4.0,观察,603565,中谷物流,物流|快递|航运|港口
20260515,物流,4.0,观察,603569,长久物流,物流|快递|航运|港口
20260515,物流,4.0,观察,603967,中创物流,物流|快递|航运|港口
20260515,传媒,2.0,观察,000156,华数传媒,传媒|游戏|影视|广告
20260515,传媒,2.0,观察,000719,中原传媒,传媒|游戏|影视|广告
20260515,传媒,2.0,观察,000917,电广传媒,传媒|游戏|影视|广告
20260515,传媒,2.0,观察,002027,分众传媒,传媒|游戏|影视|广告
20260515,传媒,2.0,观察,002343,慈文传媒,传媒|游戏|影视|广告
20260515,传媒,2.0,观察,002712,思美传媒,传媒|游戏|影视|广告
20260515,传媒,2.0,观察,002905,金逸影视,传媒|游戏|影视|广告
20260515,传媒,2.0,观察,300133,华策影视,传媒|游戏|影视|广告
20260515,传媒,2.0,观察,300251,光线传媒,传媒|游戏|影视|广告
20260515,传媒,2.0,观察,300788,中信出版,传媒|游戏|影视|广告
20260515,传媒,2.0,观察,300987,川网传媒,传媒|游戏|影视|广告
20260515,传媒,2.0,观察,301102,兆讯传媒,传媒|游戏|影视|广告
20260515,传媒,2.0,观察,301551,无线传媒,传媒|游戏|影视|广告
20260515,传媒,2.0,观察,600088,中视传媒,传媒|游戏|影视|广告
20260515,传媒,2.0,观察,600229,城市传媒,传媒|游戏|影视|广告
20260515,传媒,2.0,观察,600373,中文传媒,传媒|游戏|影视|广告
20260515,传媒,2.0,观察,600386,北巴传媒,传媒|游戏|影视|广告
20260515,传媒,2.0,观察,600757,长江传媒,传媒|游戏|影视|广告
20260515,传媒,2.0,观察,600825,新华传媒,传媒|游戏|影视|广告
20260515,传媒,2.0,观察,601019,山东出版,传媒|游戏|影视|广告
20260515,传媒,2.0,观察,601098,中南传媒,传媒|游戏|影视|广告
20260515,传媒,2.0,观察,601801,皖新传媒,传媒|游戏|影视|广告
20260515,传媒,2.0,观察,601900,南方传媒,传媒|游戏|影视|广告
20260515,传媒,2.0,观察,601921,浙版传媒,传媒|游戏|影视|广告
20260515,传媒,2.0,观察,601928,凤凰传媒,传媒|游戏|影视|广告
20260515,传媒,2.0,观察,601929,吉视传媒,传媒|游戏|影视|广告
20260515,传媒,2.0,观察,601949,中国出版,传媒|游戏|影视|广告
20260515,传媒,2.0,观察,601999,出版传媒,传媒|游戏|影视|广告
20260515,传媒,2.0,观察,603103,横店影视,传媒|游戏|影视|广告
20260515,传媒,2.0,观察,603598,引力传媒,传媒|游戏|影视|广告
20260515,传媒,2.0,观察,603999,读者传媒,传媒|游戏|影视|广告
20260515,传媒,2.0,观察,605577,龙版传媒,传媒|游戏|影视|广告
20260515,军工,2.0,观察,002151,北斗星通,军工|国防|航空发动机|卫星
20260515,军工,2.0,观察,002648,卫星化学,军工|国防|航空发动机|卫星
20260515,军工,2.0,观察,600118,中国卫星,军工|国防|航空发动机|卫星
20260515,军工,2.0,观察,600150,中国船舶,军工|国防|航空发动机|卫星
20260515,军工,2.0,观察,601606,长城军工,军工|国防|航空发动机|卫星
20260515,军工,2.0,观察,688543,国科军工,军工|国防|航空发动机|卫星
20260515,建筑建材,2.0,观察,000786,北新建材,建筑|建材|水泥|玻璃
20260515,建筑建材,2.0,观察,600449,宁夏建材,建筑|建材|水泥|玻璃
20260515,建筑建材,2.0,观察,600585,海螺水泥,建筑|建材|水泥|玻璃
20260515,建筑建材,2.0,观察,600660,福耀玻璃,建筑|建材|水泥|玻璃
20260515,建筑建材,2.0,观察,600801,华新建材,建筑|建材|水泥|玻璃
