date,cash,holding_value,total,peak,drawdown
2025-07-07,100000.0,0.0,100000.0,100000.0,0.0
2025-07-08,100000.0,0.0,100000.0,100000.0,0.0
2025-07-09,100000.0,0.0,100000.0,100000.0,0.0
2025-07-10,100000.0,0.0,100000.0,100000.0,0.0
2025-07-11,100000.0,0.0,100000.0,100000.0,0.0
2025-07-14,100000.0,0.0,100000.0,100000.0,0.0
2025-07-15,100000.0,0.0,100000.0,100000.0,0.0
2025-07-16,100000.0,0.0,100000.0,100000.0,0.0
2025-07-17,100000.0,0.0,100000.0,100000.0,0.0
2025-07-18,100000.0,0.0,100000.0,100000.0,0.0
2025-07-21,100000.0,0.0,100000.0,100000.0,0.0
2025-07-22,100000.0,0.0,100000.0,100000.0,0.0
2025-07-23,100000.0,0.0,100000.0,100000.0,0.0
2025-07-24,100000.0,0.0,100000.0,100000.0,0.0
2025-07-25,100000.0,0.0,100000.0,100000.0,0.0
2025-07-28,100000.0,0.0,100000.0,100000.0,0.0
2025-07-29,100000.0,0.0,100000.0,100000.0,0.0
2025-07-30,100000.0,0.0,100000.0,100000.0,0.0
2025-07-31,100000.0,0.0,100000.0,100000.0,0.0
2025-08-01,100000.0,0.0,100000.0,100000.0,0.0
2025-08-04,100000.0,0.0,100000.0,100000.0,0.0
2025-08-05,100000.0,0.0,100000.0,100000.0,0.0
2025-08-06,100000.0,0.0,100000.0,100000.0,0.0
2025-08-07,100000.0,0.0,100000.0,100000.0,0.0
2025-08-08,100000.0,0.0,100000.0,100000.0,0.0
2025-08-11,100000.0,0.0,100000.0,100000.0,0.0
2025-08-12,100000.0,0.0,100000.0,100000.0,0.0
2025-08-13,100000.0,0.0,100000.0,100000.0,0.0
2025-08-14,100000.0,0.0,100000.0,100000.0,0.0
2025-08-15,100000.0,0.0,100000.0,100000.0,0.0
2025-08-18,100000.0,0.0,100000.0,100000.0,0.0
2025-08-19,100000.0,0.0,100000.0,100000.0,0.0
2025-08-20,100000.0,0.0,100000.0,100000.0,0.0
2025-08-21,100000.0,0.0,100000.0,100000.0,0.0
2025-08-22,100000.0,0.0,100000.0,100000.0,0.0
2025-08-25,100000.0,0.0,100000.0,100000.0,0.0
2025-08-26,100000.0,0.0,100000.0,100000.0,0.0
2025-08-27,100000.0,0.0,100000.0,100000.0,0.0
2025-08-28,100000.0,0.0,100000.0,100000.0,0.0
2025-08-29,100000.0,0.0,100000.0,100000.0,0.0
2025-09-01,100000.0,0.0,100000.0,100000.0,0.0
2025-09-02,100000.0,0.0,100000.0,100000.0,0.0
2025-09-03,100000.0,0.0,100000.0,100000.0,0.0
2025-09-04,100000.0,0.0,100000.0,100000.0,0.0
2025-09-05,100000.0,0.0,100000.0,100000.0,0.0
2025-09-08,90525.54,9471.0,99996.54,100000.0,-0.003460000000006403
2025-09-09,90525.54,8954.0,99479.54,100000.0,-0.5204600000000065
2025-09-10,99307.34,0.0,99307.34,100000.0,-0.6926600000000035
2025-09-11,99307.34,0.0,99307.34,100000.0,-0.6926600000000035
2025-09-12,99307.34,0.0,99307.34,100000.0,-0.6926600000000035
2025-09-15,99307.34,0.0,99307.34,100000.0,-0.6926600000000035
2025-09-16,99307.34,0.0,99307.34,100000.0,-0.6926600000000035
2025-09-17,99307.34,0.0,99307.34,100000.0,-0.6926600000000035
2025-09-18,99307.34,0.0,99307.34,100000.0,-0.6926600000000035
2025-09-19,99307.34,0.0,99307.34,100000.0,-0.6926600000000035
2025-09-22,99307.34,0.0,99307.34,100000.0,-0.6926600000000035
2025-09-23,99307.34,0.0,99307.34,100000.0,-0.6926600000000035
2025-09-24,99307.34,0.0,99307.34,100000.0,-0.6926600000000035
2025-09-25,99307.34,0.0,99307.34,100000.0,-0.6926600000000035
2025-09-26,99307.34,0.0,99307.34,100000.0,-0.6926600000000035
2025-09-29,99307.34,0.0,99307.34,100000.0,-0.6926600000000035
2025-09-30,99307.34,0.0,99307.34,100000.0,-0.6926600000000035
