date,cash,holding_value,total,peak,drawdown
2025-11-10,100000.0,0.0,100000.0,100000.0,0.0
2025-11-11,100000.0,0.0,100000.0,100000.0,0.0
2025-11-12,100000.0,0.0,100000.0,100000.0,0.0
2025-11-13,100000.0,0.0,100000.0,100000.0,0.0
2025-11-14,100000.0,0.0,100000.0,100000.0,0.0
2025-11-17,100000.0,0.0,100000.0,100000.0,0.0
2025-11-18,100000.0,0.0,100000.0,100000.0,0.0
2025-11-19,100000.0,0.0,100000.0,100000.0,0.0
2025-11-20,100000.0,0.0,100000.0,100000.0,0.0
2025-11-21,100000.0,0.0,100000.0,100000.0,0.0
2025-11-24,100000.0,0.0,100000.0,100000.0,0.0
2025-11-25,100000.0,0.0,100000.0,100000.0,0.0
2025-11-26,100000.0,0.0,100000.0,100000.0,0.0
2025-11-27,100000.0,0.0,100000.0,100000.0,0.0
2025-11-28,100000.0,0.0,100000.0,100000.0,0.0
2025-12-01,100000.0,0.0,100000.0,100000.0,0.0
2025-12-02,100000.0,0.0,100000.0,100000.0,0.0
2025-12-03,100000.0,0.0,100000.0,100000.0,0.0
2025-12-04,100000.0,0.0,100000.0,100000.0,0.0
2025-12-05,100000.0,0.0,100000.0,100000.0,0.0
2025-12-08,100000.0,0.0,100000.0,100000.0,0.0
2025-12-09,100000.0,0.0,100000.0,100000.0,0.0
2025-12-10,100000.0,0.0,100000.0,100000.0,0.0
2025-12-11,100000.0,0.0,100000.0,100000.0,0.0
2025-12-12,100000.0,0.0,100000.0,100000.0,0.0
2025-12-15,100000.0,0.0,100000.0,100000.0,0.0
2025-12-16,100000.0,0.0,100000.0,100000.0,0.0
2025-12-17,100000.0,0.0,100000.0,100000.0,0.0
2025-12-18,100000.0,0.0,100000.0,100000.0,0.0
2025-12-19,100000.0,0.0,100000.0,100000.0,0.0
2025-12-22,100000.0,0.0,100000.0,100000.0,0.0
2025-12-23,100000.0,0.0,100000.0,100000.0,0.0
2025-12-24,100000.0,0.0,100000.0,100000.0,0.0
2025-12-25,100000.0,0.0,100000.0,100000.0,0.0
2025-12-26,100000.0,0.0,100000.0,100000.0,0.0
2025-12-29,100000.0,0.0,100000.0,100000.0,0.0
2025-12-30,100000.0,0.0,100000.0,100000.0,0.0
2025-12-31,100000.0,0.0,100000.0,100000.0,0.0
2026-01-05,100000.0,0.0,100000.0,100000.0,0.0
2026-01-06,100000.0,0.0,100000.0,100000.0,0.0
2026-01-07,100000.0,0.0,100000.0,100000.0,0.0
2026-01-08,100000.0,0.0,100000.0,100000.0,0.0
2026-01-09,100000.0,0.0,100000.0,100000.0,0.0
2026-01-12,100000.0,0.0,100000.0,100000.0,0.0
2026-01-13,100000.0,0.0,100000.0,100000.0,0.0
2026-01-14,100000.0,0.0,100000.0,100000.0,0.0
2026-01-15,100000.0,0.0,100000.0,100000.0,0.0
2026-01-16,100000.0,0.0,100000.0,100000.0,0.0
2026-01-19,100000.0,0.0,100000.0,100000.0,0.0
2026-01-20,100000.0,0.0,100000.0,100000.0,0.0
2026-01-21,100000.0,0.0,100000.0,100000.0,0.0
2026-01-22,100000.0,0.0,100000.0,100000.0,0.0
2026-01-23,100000.0,0.0,100000.0,100000.0,0.0
2026-01-26,100000.0,0.0,100000.0,100000.0,0.0
2026-01-27,100000.0,0.0,100000.0,100000.0,0.0
2026-01-28,100000.0,0.0,100000.0,100000.0,0.0
2026-01-29,100000.0,0.0,100000.0,100000.0,0.0
2026-01-30,100000.0,0.0,100000.0,100000.0,0.0
2026-02-02,100000.0,0.0,100000.0,100000.0,0.0
2026-02-03,100000.0,0.0,100000.0,100000.0,0.0
2026-02-04,100000.0,0.0,100000.0,100000.0,0.0
2026-02-05,100000.0,0.0,100000.0,100000.0,0.0
2026-02-06,100000.0,0.0,100000.0,100000.0,0.0
2026-02-09,100000.0,0.0,100000.0,100000.0,0.0
2026-02-10,100000.0,0.0,100000.0,100000.0,0.0
2026-02-11,100000.0,0.0,100000.0,100000.0,0.0
2026-02-12,100000.0,0.0,100000.0,100000.0,0.0
2026-02-13,100000.0,0.0,100000.0,100000.0,0.0
2026-02-24,100000.0,0.0,100000.0,100000.0,0.0
2026-02-25,100000.0,0.0,100000.0,100000.0,0.0
2026-02-26,100000.0,0.0,100000.0,100000.0,0.0
2026-02-27,100000.0,0.0,100000.0,100000.0,0.0
2026-03-02,100000.0,0.0,100000.0,100000.0,0.0
2026-03-03,100000.0,0.0,100000.0,100000.0,0.0
2026-03-04,100000.0,0.0,100000.0,100000.0,0.0
2026-03-05,100000.0,0.0,100000.0,100000.0,0.0
2026-03-06,100000.0,0.0,100000.0,100000.0,0.0
2026-03-09,100000.0,0.0,100000.0,100000.0,0.0
2026-03-10,100000.0,0.0,100000.0,100000.0,0.0
2026-03-11,100000.0,0.0,100000.0,100000.0,0.0
2026-03-12,100000.0,0.0,100000.0,100000.0,0.0
2026-03-13,100000.0,0.0,100000.0,100000.0,0.0
2026-03-16,100000.0,0.0,100000.0,100000.0,0.0
2026-03-17,100000.0,0.0,100000.0,100000.0,0.0
2026-03-18,100000.0,0.0,100000.0,100000.0,0.0
2026-03-19,100000.0,0.0,100000.0,100000.0,0.0
2026-03-20,100000.0,0.0,100000.0,100000.0,0.0
2026-03-23,100000.0,0.0,100000.0,100000.0,0.0
2026-03-24,100000.0,0.0,100000.0,100000.0,0.0
2026-03-25,100000.0,0.0,100000.0,100000.0,0.0
2026-03-26,100000.0,0.0,100000.0,100000.0,0.0
2026-03-27,100000.0,0.0,100000.0,100000.0,0.0
2026-03-30,100000.0,0.0,100000.0,100000.0,0.0
2026-03-31,100000.0,0.0,100000.0,100000.0,0.0
2026-04-01,100000.0,0.0,100000.0,100000.0,0.0
2026-04-02,100000.0,0.0,100000.0,100000.0,0.0
2026-04-03,100000.0,0.0,100000.0,100000.0,0.0
2026-04-07,100000.0,0.0,100000.0,100000.0,0.0
2026-04-08,100000.0,0.0,100000.0,100000.0,0.0
2026-04-09,100000.0,0.0,100000.0,100000.0,0.0
2026-04-10,100000.0,0.0,100000.0,100000.0,0.0
2026-04-13,100000.0,0.0,100000.0,100000.0,0.0
2026-04-14,100000.0,0.0,100000.0,100000.0,0.0
2026-04-15,100000.0,0.0,100000.0,100000.0,0.0
2026-04-16,100000.0,0.0,100000.0,100000.0,0.0
2026-04-17,100000.0,0.0,100000.0,100000.0,0.0
2026-04-20,100000.0,0.0,100000.0,100000.0,0.0
2026-04-21,100000.0,0.0,100000.0,100000.0,0.0
