板块,提及次数,正向词命中,负向词命中,中性词命中,宏观词命中,舆论分,热度分,较上一期热度变化
农业,2,8,0,3,7,6.5,10.5,+8.9
消费,3,11,0,6,34,3.2,9.2,+6.2
建筑建材,1,8,0,3,6,6.7,8.7,NEW
军工,1,8,0,3,6,6.7,8.7,+5.7
一带一路,1,8,0,3,6,6.7,8.7,NEW
纺织服装,1,8,0,3,6,6.7,8.7,+3.8
汽车,1,8,0,3,6,6.7,8.7,NEW
有色金属,1,8,0,3,6,6.7,8.7,NEW
钢铁,1,8,0,3,6,6.7,8.7,NEW
石油石化,1,8,0,3,6,6.7,8.7,NEW
电力,1,8,0,3,6,6.7,8.7,+7.1
基建市政工程,3,4,0,3,13,0.4999999999999998,6.5,NEW
交通运输,1,4,0,0,3,3.4,5.4,NEW
酒店,2,0,0,0,2,-0.4,3.6,NEW
物流,1,0,0,2,6,-1.8,0.19999999999999996,-1.2
环保,1,0,0,2,6,-1.8,0.19999999999999996,NEW
