板块,提及次数,正向词命中,负向词命中,中性词命中,宏观词命中,舆论分,热度分,较上一期热度变化
消费,2,25,0,8,26,20.6,24.6,+21.6
物流,2,15,1,3,6,12.700000000000001,16.700000000000003,+15.3
航空机场,1,12,0,2,2,11.8,13.8,NEW
电商,1,12,0,2,2,11.8,13.8,+12.4
综合,1,12,0,2,2,11.8,13.8,NEW
金融,2,16,0,8,33,9.4,13.4,NEW
人工智能,2,16,0,8,33,9.4,13.4,+11.8
通信,2,16,0,8,33,9.4,13.4,NEW
计算机,2,13,0,8,30,7.000000000000001,11.0,NEW
租赁,1,13,0,6,24,8.8,10.8,NEW
机器人,1,13,0,6,24,8.8,10.8,+8.8
农业,1,13,0,6,24,8.8,10.8,+9.2
高速公路,2,6,0,11,18,0.7,4.7,NEW
军工,1,1,0,1,3,0.9,2.9,-0.1
国企改革,1,3,0,2,9,0.6,2.6,NEW
基建市政工程,1,5,0,10,15,-0.2,1.8,NEW
电力,1,5,0,10,15,-0.2,1.8,+0.2
教育,2,7,0,22,30,-4.8,-0.7999999999999998,+7.1
