板块,提及次数,正向词命中,负向词命中,中性词命中,宏观词命中,舆论分,热度分,较上一期热度变化
农业,4,2,2,6,18,-4.6000000000000005,3.3999999999999995,+1.8
环保,1,2,0,2,5,1.2,3.2,NEW
人工智能,3,3,0,9,25,-3.9,2.1,+0.5
医药,1,0,0,0,1,-0.2,1.8,+4.7
军工,4,2,0,12,26,-6.8,1.2000000000000002,-1.8
建筑建材,1,1,0,4,6,-1.4,0.6000000000000001,NEW
消费,1,1,0,4,6,-1.4,0.6000000000000001,-2.4
综合,1,1,0,4,6,-1.4,0.6000000000000001,NEW
钢铁,1,1,0,4,6,-1.4,0.6000000000000001,NEW
金融,3,5,1,14,30,-5.4,0.5999999999999996,NEW
计算机,1,0,0,2,5,-1.6,0.3999999999999999,NEW
半导体,1,0,0,2,5,-1.6,0.3999999999999999,NEW
通信,1,0,0,2,5,-1.6,0.3999999999999999,NEW
教育,3,5,1,14,32,-5.8,0.20000000000000018,+8.1
食品,1,0,2,0,0,-2.0,0.0,-4.9
化工,1,0,2,0,0,-2.0,0.0,NEW
电力,1,1,0,5,15,-3.5,-1.5,-3.1
一带一路,1,1,0,5,15,-3.5,-1.5,NEW
有色金属,1,1,0,5,15,-3.5,-1.5,NEW
